project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
adoctor,archived,,,,,,,0,
aether,archived,,,,,,,0,
boaviztapi,proved+tested,,,,,,,0,
camunda carbon reductor,proved+tested,,,,,,,0,
carbon aware sdk,proved+tested,,,,,,,0,
carbon-aware-computing.com,proved+tested,,,,,,,0,
cloud carbon footprint,proved+tested,,,,,,,0,
cloud energy,proved+tested,,,,,,,0,
co2.js,proved+tested,,,,,,,0,
eco ci,proved+tested,,,,,,,0,
ecologits,proved+tested,,,,,,,0,
green metrics tool,proved+tested,,,,,,,0,
greenit-analysis,proved+tested,,,,,,,0,
greenspector studio,proved+tested,,,,,,,0,
impact framework,proved+tested,,,,,,,0,
karpenter,proved+tested,,,,,,,0,
keda,proved+tested,,,,,,,0,
keit,proved+tested,,,,,,,0,
kepler,proved+tested,,,,,,,0,
kube-green,proved+tested,,,,,,,0,
oaklean,proved+tested,,,,,,,0,
power hog,proved+tested,,,,,,,0,
scaphandre,proved+tested,,,,,,,0,
